symbol;full_name
MRX-USD;MetrixCoin USD
RBY-USD;Rubycoin USD
SCC3-USD;StakeCubeCoin USD
TUBE-USD;BitTube USD
DUN-USD;DuneNetwork USD
XUC-USD;ExchangeUnion USD
SHIFT-USD;Shift USD
SLS-USD;SaluS USD
MTC2-USD;Metacoin USD
JDC-USD;JDCoin USD
CCA-USD;CounosCoin USD
MIDAS-USD;Midas USD
XNS1-USD;Insolar USD
RSTR-USD;Ondori USD
XNS2-USD;
DCY-USD;Dinastycoin USD
XCP-USD;Counterparty USD
LRG-USD;LargoCoin USD
XLQ-USD;ALQO USD
BTX-USD;Bitcore USD
BRC-USD;BaerChain USD
BST-USD;BlockStamp USD
VBK-USD;VeriBlock USD
YEP-USD;
